SUBJECT,Subject,LOCATION,Country,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1981-Q1,Q1-1981,CAD,Canadian Dollar,6,Millions,,,-3685,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1981-Q2,Q2-1981,CAD,Canadian Dollar,6,Millions,,,-4256,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1981-Q3,Q3-1981,CAD,Canadian Dollar,6,Millions,,,-4353,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1981-Q4,Q4-1981,CAD,Canadian Dollar,6,Millions,,,-3104,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1982-Q1,Q1-1982,CAD,Canadian Dollar,6,Millions,,,-427,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1982-Q2,Q2-1982,CAD,Canadian Dollar,6,Millions,,,376,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1982-Q3,Q3-1982,CAD,Canadian Dollar,6,Millions,,,1598,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1982-Q4,Q4-1982,CAD,Canadian Dollar,6,Millions,,,337,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1983-Q1,Q1-1983,CAD,Canadian Dollar,6,Millions,,,-468,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1983-Q2,Q2-1983,CAD,Canadian Dollar,6,Millions,,,92,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1983-Q3,Q3-1983,CAD,Canadian Dollar,6,Millions,,,-1301,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1983-Q4,Q4-1983,CAD,Canadian Dollar,6,Millions,,,-1854,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1984-Q1,Q1-1984,CAD,Canadian Dollar,6,Millions,,,-1410,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1984-Q2,Q2-1984,CAD,Canadian Dollar,6,Millions,,,-804,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1984-Q3,Q3-1984,CAD,Canadian Dollar,6,Millions,,,-400,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1984-Q4,Q4-1984,CAD,Canadian Dollar,6,Millions,,,503,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1985-Q1,Q1-1985,CAD,Canadian Dollar,6,Millions,,,-488,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1985-Q2,Q2-1985,CAD,Canadian Dollar,6,Millions,,,-1981,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1985-Q3,Q3-1985,CAD,Canadian Dollar,6,Millions,,,-3007,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1985-Q4,Q4-1985,CAD,Canadian Dollar,6,Millions,,,-2819,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1986-Q1,Q1-1986,CAD,Canadian Dollar,6,Millions,,,-4137,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1986-Q2,Q2-1986,CAD,Canadian Dollar,6,Millions,,,-3844,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1986-Q3,Q3-1986,CAD,Canadian Dollar,6,Millions,,,-4301,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1986-Q4,Q4-1986,CAD,Canadian Dollar,6,Millions,,,-3833,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1987-Q1,Q1-1987,CAD,Canadian Dollar,6,Millions,,,-3511,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1987-Q2,Q2-1987,CAD,Canadian Dollar,6,Millions,,,-4025,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1987-Q3,Q3-1987,CAD,Canadian Dollar,6,Millions,,,-4602,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1987-Q4,Q4-1987,CAD,Canadian Dollar,6,Millions,,,-6370,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1988-Q1,Q1-1988,CAD,Canadian Dollar,6,Millions,,,-4804,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1988-Q2,Q2-1988,CAD,Canadian Dollar,6,Millions,,,-4145,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1988-Q3,Q3-1988,CAD,Canadian Dollar,6,Millions,,,-5768,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1988-Q4,Q4-1988,CAD,Canadian Dollar,6,Millions,,,-4469,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1989-Q1,Q1-1989,CAD,Canadian Dollar,6,Millions,,,-5214,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1989-Q2,Q2-1989,CAD,Canadian Dollar,6,Millions,,,-7351,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1989-Q3,Q3-1989,CAD,Canadian Dollar,6,Millions,,,-6724,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1989-Q4,Q4-1989,CAD,Canadian Dollar,6,Millions,,,-7278,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1990-Q1,Q1-1990,CAD,Canadian Dollar,6,Millions,,,-7402,,
B6BLTT01,"Current account, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1990-Q2,Q2-1990,CAD,Canadian Dollar,6,Millions,,,-5404,,
