"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","P3","Final consumption expenditure","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1959-Q3","Q3-1959","AUD","Australian Dollar","6","Millions",,,2753,,
"AUS","Australia","P3","Final consumption expenditure","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1959-Q4","Q4-1959","AUD","Australian Dollar","6","Millions",,,2822,,
"AUS","Australia","P3","Final consumption expenditure","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1960-Q1","Q1-1960","AUD","Australian Dollar","6","Millions",,,2893,,
"AUS","Australia","P3","Final consumption expenditure","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1960-Q2","Q2-1960","AUD","Australian Dollar","6","Millions",,,2953,,
"AUS","Australia","P3","Final consumption expenditure","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1960-Q3","Q3-1960","AUD","Australian Dollar","6","Millions",,,3013,,
"AUS","Australia","P3","Final consumption expenditure","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1960-Q4","Q4-1960","AUD","Australian Dollar","6","Millions",,,3054,,
"AUS","Australia","P3","Final consumption expenditure","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1961-Q1","Q1-1961","AUD","Australian Dollar","6","Millions",,,3041,,
"AUS","Australia","P3","Final consumption expenditure","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1961-Q2","Q2-1961","AUD","Australian Dollar","6","Millions",,,3060,,
"AUS","Australia","P3","Final consumption expenditure","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1961-Q3","Q3-1961","AUD","Australian Dollar","6","Millions",,,3098,,
"AUS","Australia","P3","Final consumption expenditure","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1961-Q4","Q4-1961","AUD","Australian Dollar","6","Millions",,,3109,,
"AUS","Australia","P3","Final consumption expenditure","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1962-Q1","Q1-1962","AUD","Australian Dollar","6","Millions",,,3181,,
"AUS","Australia","P3","Final consumption expenditure","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1962-Q2","Q2-1962","AUD","Australian Dollar","6","Millions",,,3246,,
"AUS","Australia","P3","Final consumption expenditure","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1962-Q3","Q3-1962","AUD","Australian Dollar","6","Millions",,,3272,,
"AUS","Australia","P3","Final consumption expenditure","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1962-Q4","Q4-1962","AUD","Australian Dollar","6","Millions",,,3333,,
"AUS","Australia","P3","Final consumption expenditure","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1963-Q1","Q1-1963","AUD","Australian Dollar","6","Millions",,,3397,,
"AUS","Australia","P3","Final consumption expenditure","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1963-Q2","Q2-1963","AUD","Australian Dollar","6","Millions",,,3461,,
"AUS","Australia","P3","Final consumption expenditure","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1963-Q3","Q3-1963","AUD","Australian Dollar","6","Millions",,,3547,,
"AUS","Australia","P3","Final consumption expenditure","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1963-Q4","Q4-1963","AUD","Australian Dollar","6","Millions",,,3597,,
