LOCATION,Country,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Period,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1959-Q3,Q3-1959,AUD,Australian Dollar,6,Millions,,,3973,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1959-Q4,Q4-1959,AUD,Australian Dollar,6,Millions,,,4088,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1960-Q1,Q1-1960,AUD,Australian Dollar,6,Millions,,,4167,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1960-Q2,Q2-1960,AUD,Australian Dollar,6,Millions,,,4378,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1960-Q3,Q3-1960,AUD,Australian Dollar,6,Millions,,,4400,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1960-Q4,Q4-1960,AUD,Australian Dollar,6,Millions,,,4428,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1961-Q1,Q1-1961,AUD,Australian Dollar,6,Millions,,,4420,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1961-Q2,Q2-1961,AUD,Australian Dollar,6,Millions,,,4322,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1961-Q3,Q3-1961,AUD,Australian Dollar,6,Millions,,,4331,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1961-Q4,Q4-1961,AUD,Australian Dollar,6,Millions,,,4367,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1962-Q1,Q1-1962,AUD,Australian Dollar,6,Millions,,,4498,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1962-Q2,Q2-1962,AUD,Australian Dollar,6,Millions,,,4594,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1962-Q3,Q3-1962,AUD,Australian Dollar,6,Millions,,,4651,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1962-Q4,Q4-1962,AUD,Australian Dollar,6,Millions,,,4782,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1963-Q1,Q1-1963,AUD,Australian Dollar,6,Millions,,,4925,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1963-Q2,Q2-1963,AUD,Australian Dollar,6,Millions,,,4890,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1963-Q3,Q3-1963,AUD,Australian Dollar,6,Millions,,,5151,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1963-Q4,Q4-1963,AUD,Australian Dollar,6,Millions,,,5258,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1964-Q1,Q1-1964,AUD,Australian Dollar,6,Millions,,,5320,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1964-Q2,Q2-1964,AUD,Australian Dollar,6,Millions,,,5501,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1964-Q3,Q3-1964,AUD,Australian Dollar,6,Millions,,,5586,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1964-Q4,Q4-1964,AUD,Australian Dollar,6,Millions,,,5765,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1965-Q1,Q1-1965,AUD,Australian Dollar,6,Millions,,,5851,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1965-Q2,Q2-1965,AUD,Australian Dollar,6,Millions,,,5966,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1965-Q3,Q3-1965,AUD,Australian Dollar,6,Millions,,,5986,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1965-Q4,Q4-1965,AUD,Australian Dollar,6,Millions,,,6058,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1966-Q1,Q1-1966,AUD,Australian Dollar,6,Millions,,,6092,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1966-Q2,Q2-1966,AUD,Australian Dollar,6,Millions,,,6250,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1966-Q3,Q3-1966,AUD,Australian Dollar,6,Millions,,,6536,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1966-Q4,Q4-1966,AUD,Australian Dollar,6,Millions,,,6701,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1967-Q1,Q1-1967,AUD,Australian Dollar,6,Millions,,,6938,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1967-Q2,Q2-1967,AUD,Australian Dollar,6,Millions,,,6988,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1967-Q3,Q3-1967,AUD,Australian Dollar,6,Millions,,,7094,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1967-Q4,Q4-1967,AUD,Australian Dollar,6,Millions,,,7235,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1968-Q1,Q1-1968,AUD,Australian Dollar,6,Millions,,,7346,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1968-Q2,Q2-1968,AUD,Australian Dollar,6,Millions,,,7532,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1968-Q3,Q3-1968,AUD,Australian Dollar,6,Millions,,,7756,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1968-Q4,Q4-1968,AUD,Australian Dollar,6,Millions,,,8169,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1969-Q1,Q1-1969,AUD,Australian Dollar,6,Millions,,,8283,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1969-Q2,Q2-1969,AUD,Australian Dollar,6,Millions,,,8545,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1969-Q3,Q3-1969,AUD,Australian Dollar,6,Millions,,,8858,,
