SUBJECT,Subject,LOCATION,Country,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1981-Q1,Q1-1981,CAD,Canadian Dollar,6,Millions,,,1741,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1981-Q2,Q2-1981,CAD,Canadian Dollar,6,Millions,,,1014,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1981-Q3,Q3-1981,CAD,Canadian Dollar,6,Millions,,,1134,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1981-Q4,Q4-1981,CAD,Canadian Dollar,6,Millions,,,2243,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1982-Q1,Q1-1982,CAD,Canadian Dollar,6,Millions,,,3386,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1982-Q2,Q2-1982,CAD,Canadian Dollar,6,Millions,,,4652,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1982-Q3,Q3-1982,CAD,Canadian Dollar,6,Millions,,,5443,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1982-Q4,Q4-1982,CAD,Canadian Dollar,6,Millions,,,4729,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1983-Q1,Q1-1983,CAD,Canadian Dollar,6,Millions,,,4332,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1983-Q2,Q2-1983,CAD,Canadian Dollar,6,Millions,,,5116,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1983-Q3,Q3-1983,CAD,Canadian Dollar,6,Millions,,,3851,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1983-Q4,Q4-1983,CAD,Canadian Dollar,6,Millions,,,3702,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1984-Q1,Q1-1984,CAD,Canadian Dollar,6,Millions,,,3991,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1984-Q2,Q2-1984,CAD,Canadian Dollar,6,Millions,,,4873,,
